# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = noname_4.data.R
# init = 2 (Default)
# random
#   seed = 215976437
# output
#   file = noname_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.986797
# Diagonal elements of inverse mass matrix:
# 0.448049
-7.90406,0.88379,0.986797,1,1,0,8.20054,0.436398
-7.64101,1,0.986797,1,3,0,8.19478,0.34364
-7.8994,0.987836,0.986797,1,1,0,7.94283,0.240746
-7.66559,1,0.986797,1,3,0,7.81194,0.302008
-8.33702,0.797717,0.986797,1,1,0,8.94094,0.50239
-7.63913,0.949801,0.986797,2,3,0,8.39776,0.339315
-7.64634,1,0.986797,2,3,0,7.81282,0.350878
-8.01796,0.931356,0.986797,1,1,0,8.01801,0.22338
-7.6859,1,0.986797,1,1,0,7.73557,0.292248
-7.68465,0.978303,0.986797,2,3,0,7.92963,0.375607
-7.64003,0.9991,0.986797,1,3,0,7.65604,0.325079
-7.66441,0.966639,0.986797,1,3,0,8.34949,0.364961
-7.63832,0.962477,0.986797,2,3,0,7.83045,0.335727
-7.71091,1,0.986797,1,1,0,7.76426,0.386432
-7.85678,1,0.986797,1,1,0,7.94631,0.426549
-8.48764,0.877201,0.986797,1,1,0,9.14718,0.176781
-7.70491,0.999432,0.986797,1,1,0,7.72221,0.284979
-7.73305,1,0.986797,1,3,0,8.20169,0.276024
-7.72086,1,0.986797,2,3,0,7.819,0.279697
-7.76857,0.928779,0.986797,2,3,0,8.01876,0.404874
-7.76857,0.704752,0.986797,1,3,0,8.71937,0.404874
-8.09017,0.927711,0.986797,1,3,0,8.09505,0.214392
-7.82467,0.963585,0.986797,1,1,0,7.82481,0.25425
-9.36989,0.945972,0.986797,1,1,0,9.54543,0.125709
-8.82078,0.934613,0.986797,1,1,0,8.91365,0.154019
-8.81596,1,0.986797,1,1,0,9.83392,0.154311
-8.26994,1,0.986797,1,1,0,8.71459,0.195416
-8.03974,0.342153,0.986797,1,3,0,11.889,0.460674
-8.51996,1,0.986797,1,1,0,8.99101,0.523586
-7.72743,1,0.986797,2,3,0,8.01489,0.277683
-8.28847,0.977811,0.986797,2,3,0,8.31507,0.193673
-7.63885,0.991755,0.986797,1,3,0,8.18397,0.328318
-8.25672,0.953957,0.986797,2,3,0,8.27806,0.492186
-8.77499,1,0.986797,1,1,0,9.10492,0.156835
-8.70637,0.947086,0.986797,1,1,0,8.80995,0.161222
-8.28753,0.923373,0.986797,2,3,0,8.30109,0.19376
-9.98495,0.872155,0.986797,2,3,0,10.1289,0.641659
-8.16098,0.602905,0.986797,1,1,0,9.25148,0.479103
-7.78657,0.961699,0.986797,1,3,0,7.8587,0.409766
-7.66285,0.991887,0.986797,1,3,0,7.77072,0.303584
-7.74929,0.973472,0.986797,1,3,0,7.76004,0.271506
-7.66975,1,0.986797,1,1,0,7.71762,0.299758
-7.99373,0.942208,0.986797,1,1,0,7.996,0.22663
-8.60443,0.990871,0.986797,1,1,0,8.90223,0.532593
-8.02909,1,0.986797,2,3,0,8.45031,0.22193
-7.8851,0.975889,0.986797,1,1,0,7.9058,0.243137
-7.81048,0.797259,0.986797,1,3,0,8.90991,0.257148
